#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM021697.1	1	199699387	63135311	197194714	98.7458	40.037	35.6	55.5
MU012047.1	1	147164	43309	131976	89.6795	38.0964	35.8	49.6
JAACYO010010988.1	1	30244	19414	30244	100	82.7009	35.8	49.8
JAACYO010010996.1	1	9663	24772	9663	100	335.509	35.9	23.2
JAACYO010011242.1	1	9430	65994	9430	100	844.366	35.8	59.4
JAACYO010011446.1	1	3025	401	3025	100	16.1349	35.9	59.8
JAACYO010011479.1	1	1806	405	1806	100	27.9596	35.8	58.8
JAACYO010011503.1	1	1327	466	1327	100	46.6609	35.7	59.8
JAACYO010011509.1	1	1861	531	1861	100	32.353	35.7	59.9
JAACYO010011515.1	1	1523	502	1523	100	43.5272	35.7	59.3
JAACYO010011536.1	1	1290	190	1290	100	20.0333	35.7	60
JAACYO010011566.1	1	5093	1409	5093	100	34.7306	35.9	58.4
JAACYO010011568.1	1	1528	211	1528	100	16.4385	35.9	56.2
JAACYO010011633.1	1	6832	1896	6832	100	35.4838	35.8	59.8
JAACYO010011647.1	1	1258	382	1258	100	39.7218	35.3	59.4
JAACYO010011715.1	1	1139	290	1139	100	33.849	36	60
JAACYO010011816.1	1	3156	515	3149	99.7782	19.365	35.8	59.5
JAACYO010011846.1	1	1716	625	1716	100	48.5705	35.9	59.7
JAACYO010011890.1	1	3740	871	3740	100	29.6104	35.7	58.7
JAACYO010011891.1	1	5396	1407	5396	100	33.0415	35.7	57.9
JAACYO010011912.1	1	5909	2515	5909	100	44.4126	34.9	39.3
JAACYO010011913.1	1	4806	1379	4806	100	37.6881	35.8	59.4
JAACYO010011917.1	1	2592	536	2592	100	26.6678	35.5	58.7
JAACYO010011935.1	1	1237	289	1237	100	30.8941	35.7	58.8
JAACYO010011972.1	1	3679	4820	3679	100	114.232	33.4	21
JAACYO010011992.1	1	1030	765	1030	100	90.1029	34.1	12.1
