#rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq
CM021697.1,1,199699387,74720430,197112451,98.7046,37.3266,35.2,59.5
MU012047.1,1,147164,2150,19315,13.1248,1.35227,34.9,6.89
JAACYO010010988.1,1,30244,23734,30244,100,77.885,35.1,51.6
JAACYO010010996.1,1,9663,32916,9663,100,338.819,35,21.7
JAACYO010011242.1,1,9430,49896,9176,97.3065,498.668,34.9,59.4
JAACYO010011446.1,1,3025,1100,3025,100,35.3898,35.4,59.8
JAACYO010011479.1,1,1806,704,1806,100,37.979,35.3,59.9
JAACYO010011503.1,1,1327,556,1327,100,42.2622,35.1,60
JAACYO010011509.1,1,1861,739,1861,100,36.309,35.4,60
JAACYO010011515.1,1,1523,614,1523,100,41.6323,34.9,60
JAACYO010011566.1,1,5093,1789,5085,99.8429,34.7768,35,60
JAACYO010011568.1,1,1528,306,1528,100,19.7952,35.1,59.8
JAACYO010011633.1,1,6832,2011,6832,100,29.3274,34.1,60
JAACYO010011647.1,1,1258,405,1258,100,29.9388,34.8,59.7
JAACYO010011715.1,1,1139,436,1139,100,37.8016,35.4,59.4
JAACYO010011816.1,1,3156,681,3156,100,20.6245,35.1,59.8
JAACYO010011846.1,1,1716,651,1716,100,38.3864,35,59.8
JAACYO010011890.1,1,3740,1336,3740,100,35.6289,35.5,59.8
JAACYO010011891.1,1,5396,2086,5396,100,38.384,35.2,59.6
JAACYO010011912.1,1,5909,2208,5904,99.9154,37.3026,35.1,59.6
JAACYO010011913.1,1,4806,1800,4801,99.896,37.2801,34.9,59.9
JAACYO010011917.1,1,2592,853,2592,100,31.6489,34.9,59.6
JAACYO010011935.1,1,1237,384,1237,100,31.0186,35.4,60
JAACYO010011972.1,1,3679,1315,3673,99.8369,35.4314,35.2,59.3
JAACYO010011992.1,1,1030,249,1029,99.9029,21.5515,34.2,29.9
JAACYO010012018.1,1,4512,1725,4512,100,37.7529,35.1,58.7
JAACYO010012026.1,1,1489,522,1489,100,34.4715,35.1,59.7
JAACYO010012104.1,1,1337,421,1337,100,31.7592,35.3,59.6
JAACYO010012122.1,1,3822,1391,3822,100,36.3252,34.9,59.9
JAACYO010012133.1,1,1982,767,1982,100,32.5368,35,59.6
JAACYO010012134.1,1,2381,1354,2381,100,55.6485,35.4,58.4
JAACYO010012234.1,1,1354,3150,1354,100,208.984,34.7,53.8
JAACYO010012239.1,1,2673,32,817,30.5649,1.13281,34.9,7.19
JAACYO010012255.1,1,1962,20,124,6.32008,0.254842,36.2,34.1
JAACYO010012319.1,1,4856,1727,4856,100,35.0412,35.2,56.1
JAACYO010012376.1,1,3281,1149,3281,100,34.0923,34.5,50.1
JAACYO010012379.1,1,3035,1355,3035,100,43.6741,34.8,53.8
JAACYO010012485.1,1,9689,3633,9689,100,37.4202,35.1,59.1
JAACYO010012527.1,1,7503,2376,6922,92.2564,31.2515,35.1,59.1
JAACYO010012645.1,1,3700,1221,3685,99.5946,32.9324,35.2,28.4
JAACYO010012898.1,1,1615,568,1574,97.4613,34.1307,35,48.5
JAACYO010012971.1,1,4828,428,3924,81.2759,8.75559,35,1.7
JAACYO010012986.1,1,14348,5405,14348,100,37.525,35.2,59.9
JAACYO010012993.1,1,2449,923,2449,100,37.1315,35.1,37.9
JAACYO010013010.1,1,53856,21516,53856,100,39.8993,35.1,59.9
JAACYO010013020.1,1,13653,5100,13653,100,37.0847,34.9,56.4
JAACYO010013096.1,1,6752,2266,6752,100,32.9847,34.4,59.4
JAACYO010013127.1,1,11404,4199,11404,100,37.0031,35.2,59.8
JAACYO010013201.1,1,13665,4780,13655,99.9268,34.67,35.2,58.5
JAACYO010013208.1,1,4614,682,4614,100,14.6435,33.2,59.2
JAACYO010013223.1,1,1452,11219,1452,100,745.404,35.2,3.67
MU012048.1,1,1788,193,1612,90.1566,10.5464,33.2,60
MU012049.1,1,9670,3351,9562,98.8831,34.6034,35.3,60
MU012050.1,1,3784,489,3595,95.0053,12.5848,33.3,59.8
MU012051.1,1,2579,1856,516,20.0078,39.5266,35.4,48.2
MU012052.1,1,1665,3233,1529,91.8318,143.708,34.6,19.1
MU012053.1,1,3871,1009,3775,97.52,24.7722,34.1,57.6
MU012054.1,1,1964,616,1866,95.0102,28.6319,35,54.4
JAACYO010014295.1,1,3364,2768,3364,100,81.9617,35.2,59.9
JAACYO010014384.1,1,811,134,811,100,15.2861,34.3,29.6
JAACYO010014403.1,1,706,146,204,28.8952,5.23796,33.6,3.6
JAACYO010014406.1,1,982,25,378,38.4929,2.16395,33.5,55.2
JAACYO010014455.1,1,3464,1028,3450,99.5958,29.2272,34.9,59.5
MU012055.1,1,701,1581,585,83.4522,207.757,34.5,24.7
JAACYO010015038.1,1,6578,1328,6578,100,19.9897,33.9,59.9
JAACYO010015049.1,1,3171,1194,3171,100,37.7051,35.2,59.8
JAACYO010015059.1,1,2642,848,2642,100,30.7706,35,60
JAACYO010015110.1,1,6190,2187,6190,100,35.5052,35.2,59.8
JAACYO010015121.1,1,4675,1603,4675,100,33.4424,35.1,58.5
JAACYO010015215.1,1,7843,3080,7843,100,39.1907,35.3,60
JAACYO010015297.1,1,6003,2200,6003,100,35.5805,35.1,57.6
JAACYO010015441.1,1,1056,2087,1056,100,199.473,35,32.5
JAACYO010015442.1,1,5191,1774,5191,100,34.1489,35.3,59.8
JAACYO010015443.1,1,4345,1419,4340,99.8849,32.5629,35.1,58.5
JAACYO010015446.1,1,1015,320,1015,100,31.203,34.6,47.5
JAACYO010015459.1,1,4004,1335,4004,100,33.0914,35.4,58.9
JAACYO010015515.1,1,2136,394,2135,99.9532,18.1704,34,59.2
JAACYO010015546.1,1,7926,1252,7289,91.9632,15.6441,35.1,2.27
JAACYO010015557.1,1,3539,60,744,21.0229,1.51144,34.8,10.9
JAACYO010015622.1,1,7485,2782,7485,100,37.0494,35.4,59.1
JAACYO010015714.1,1,4111,1533,4111,100,37.4155,35.2,59.9
JAACYO010015880.1,1,3413,36,491,14.3862,0.593613,35.1,31.7
JAACYO010015887.1,1,17641,6466,17641,100,35.5988,35.2,58.8
JAACYO010015888.1,1,5190,2061,5190,100,40.3998,35.1,60
JAACYO010015892.1,1,16703,5867,16703,100,35.0033,35.1,58.2
MU012056.1,1,17136,6487,17126,99.9416,36.8379,35.1,57.3
MU012057.1,1,5810,1892,5711,98.296,32.4112,35.4,60
MU012058.1,1,2694,607,2692,99.9258,21.3831,34.1,58.3
MU012059.1,1,8046,2689,7956,98.8814,33.5467,35.3,59.9
MU012060.1,1,9629,3521,9434,97.9749,36.4683,35.2,59.6
MU012061.1,1,2556,1030,491,19.2097,30.6823,34.9,33.4
MU012062.1,1,13964,4025,10944,78.373,28.6724,35.2,58.8
JAACYO010016492.1,1,10515,3909,10497,99.8288,36.5598,35.2,58.2
MU012063.1,1,14005,5416,13895,99.2146,38.7046,35.2,58.1
MU012064.1,1,3707,881,3432,92.5816,18.3129,33.9,51.9
MU012065.1,1,1949,3017,1850,94.9205,160.53,34.8,32.4
JAACYO010017023.1,1,5502,2023,5502,100,36.5802,35.1,59.8
JAACYO010017051.1,1,2060,765,2060,100,36.7034,35.3,60
JAACYO010017054.1,1,7670,2744,7670,100,35.5941,35.1,58.4
JAACYO010017055.1,1,4789,1765,4789,100,36.7789,35.2,59.3
JAACYO010017072.1,1,4651,1716,4568,98.2154,36.839,35.4,60
JAACYO010017191.1,1,6539,2317,6490,99.2506,35.2395,35.3,59.9
JAACYO010017260.1,1,1612,613,1612,100,37.3431,35.2,59.4
JAACYO010017301.1,1,1077,185,1077,100,16.7697,34.9,46.1
JAACYO010017412.1,1,17449,6486,17422,99.8453,37.0622,35,58.5
JAACYO010017446.1,1,7674,3110,7674,100,40.4541,35.1,42.7
MU012066.1,1,16122,5043,16113,99.9442,30.9169,34.1,57.6
JAACYO010017742.1,1,42154,15668,42133,99.9502,37.1615,35.1,60
JAACYO010017759.1,1,1562,253,1547,99.0397,14.1056,33.5,56.6
MU012067.1,1,6279,2212,6179,98.4074,34.1311,35.2,56.8
JAACYO010018106.1,1,5363,2051,5363,100,38.3353,35.1,59.8
JAACYO010018114.1,1,3240,542,3222,99.4444,16.5302,35.1,11.4
JAACYO010018115.1,1,8882,2290,8882,100,25.4601,34.1,59.4
JAACYO010018138.1,1,8181,2679,7957,97.2619,32.6778,35,59.8
MU012068.1,1,9717,3477,9567,98.4563,35.0475,35.2,57.3
JAACYO010018235.1,1,8208,3027,8208,100,36.7141,35.2,59.4
JAACYO010018239.1,1,4897,890,4892,99.8979,18.0847,35.2,7.46
JAACYO010018250.1,1,1714,2694,1714,100,157.004,34.9,15.6
JAACYO010018254.1,1,6813,2545,6799,99.7945,37.3087,35.1,59.8
JAACYO010018283.1,1,8816,2835,8720,98.9111,31.6686,35.2,57.6
JAACYO010018300.1,1,5765,2109,5746,99.6704,36.4486,35.4,59.6
MU012069.1,1,28554,112,1223,4.28311,0.150067,35.7,35
MU012070.1,1,7593,2926,7585,99.8946,37.7517,35.1,59.7
JAACYO010018671.1,1,3576,1102,3576,100,30.6365,35.1,59.4
JAACYO010018675.1,1,7820,2653,7819,99.9872,33.3069,34.8,55.7
JAACYO010018797.1,1,3359,1353,3359,100,40.4293,35.1,60
JAACYO010018800.1,1,22665,5308,22665,100,23.2371,33.9,59
JAACYO010018821.1,1,3574,997,3518,98.4331,26.9983,35.2,58.9
JAACYO010018844.1,1,10500,3792,10500,100,35.9931,35.3,59.8
JAACYO010018864.1,1,1180,254,1167,98.8983,20.5127,35.1,38.8
MU012071.1,1,4016,1348,3917,97.5349,33.0608,35.3,59.7
JAACYO010019062.1,1,6936,2454,6936,100,35.1848,35.2,59.9
MU012072.1,1,10006,3789,9907,99.0106,37.8358,35.2,55.6
JAACYO010019170.1,1,2887,58,997,34.5341,1.69657,34.5,12.4
JAACYO010019223.1,1,5940,1421,5935,99.9158,23.7426,34.1,59.4
JAACYO010019252.1,1,4185,1489,4185,100,34.8526,35.3,59.3
JAACYO010019263.1,1,3278,1208,3278,100,35.9719,35.2,57.6
JAACYO010019269.1,1,4992,1736,4992,100,34.5625,35,59.8
JAACYO010019270.1,1,6463,2482,6463,100,38.1403,35.4,59.7
JAACYO010019288.1,1,6021,2206,6021,100,36.4498,35.1,59.9
JAACYO010019295.1,1,3856,1401,3851,99.8703,36.1489,35.1,59.3
JAACYO010019297.1,1,4316,1607,4314,99.9537,37.1633,35.2,58.5
JAACYO010019299.1,1,2984,1597,2982,99.933,38.2537,35.3,57.4
MU012073.1,1,2629,11313,2437,92.6968,418.675,34.9,40.6
MU012074.1,1,13920,2309,13483,96.8606,16.2624,33.8,52.3
MU012075.1,1,8380,2920,8282,98.8305,34.2622,35.2,58.5
JAACYO010019565.1,1,5455,2024,5455,100,36.835,35.1,59.6
JAACYO010019616.1,1,6591,2683,6591,100,40.6459,35.4,59
JAACYO010019628.1,1,5296,1791,5268,99.4713,33.7381,35.3,59.7
JAACYO010019664.1,1,7856,2878,7856,100,36.481,35.2,56.8
JAACYO010019694.1,1,9354,2047,9349,99.9465,21.314,35.2,7.98
MU012076.1,1,3390,2556,3384,99.823,75.6563,35.1,57.6
MU012077.1,1,7717,2724,7605,98.5487,34.9734,35.3,58.8
JAACYO010019884.1,1,9904,3763,9904,100,37.8681,35.1,58.7
JAACYO010019892.1,1,5361,1825,5361,100,33.5689,35,58.3
MU012078.1,1,6616,2287,6516,98.4885,34.4486,35.3,59.3
MU012079.1,1,36198,5931,30849,85.2229,16.1193,33.6,59.4
JAACYO010020079.1,1,10046,3959,10046,100,39.1951,35.3,59.9
MU012080.1,1,44380,17987,44261,99.7319,40.4239,35,54.6
JAACYO010020112.1,1,11052,4125,11042,99.9095,37.1642,35.2,59.7
JAACYO010020120.1,1,2021,3977,2020,99.9505,196.047,34.8,8.48
JAACYO010020133.1,1,5895,2136,5895,100,36.1274,35.1,59.1
MU012081.1,1,49525,15467,44194,89.2357,31.0975,35.2,58.8
JAACYO010020145.1,1,12872,8428,12872,100,45.0312,35.4,38.1
JAACYO010020202.1,1,6058,2285,5965,98.4648,45.0848,34.5,24.2
JAACYO010020408.1,1,13651,4391,13601,99.6337,31.8859,35.2,51.9
MU012082.1,1,14590,5125,14476,99.2186,34.9704,35.3,59.6
JAACYO010020459.1,1,1126,3187,1126,100,281.563,35.2,3.03
MU012083.1,1,47655,25347,47646,99.9811,52.5812,35,58.1
MU012084.1,1,10627,3654,10534,99.1249,34.2836,35,58.3
MU012085.1,1,31468,6969,30720,97.623,21.9813,33.9,59.8
MU012086.1,1,16302,5898,16293,99.9448,35.986,35.3,59.8
JAACYO010020864.1,1,7465,2334,7448,99.7723,31.1374,35.2,54.5
MU012087.1,1,41745,20386,41741,99.9904,48.4824,35.3,43.6
MU012088.1,1,13862,4522,13663,98.5644,32.4592,35.2,59.1
