#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM021799.1	1	204625131	47360980	199024548	97.263	29.3968	35.5	56.1
JAACYN010012523.1	1	1328	3143	1328	100	316.079	35.8	59.9
JAACYN010012717.1	1	14360	5201	14360	100	44.0839	35.3	57.6
MU018150.1	1	55961	12741	55571	99.3031	29.02	35.5	57.4
JAACYN010013916.1	1	1026	201	1026	100	25.9376	35.8	60
JAACYN010013960.1	1	3861	683	3861	100	23.2953	35.6	59
JAACYN010014065.1	1	1077	1332	1077	100	82.7242	33.9	8.15
JAACYN010014072.1	1	1528	292	1520	99.4764	24.2736	35.8	59.5
JAACYN010014091.1	1	1222	1107	1222	100	91.3372	33.6	23.9
JAACYN010014095.1	1	1434	193	1434	100	17.5774	34.5	35.6
JAACYN010014112.1	1	2514	266	2514	100	12.9391	35.7	58.5
JAACYN010014141.1	1	1612	1211	1612	100	47.9026	32.3	35.4
JAACYN010014151.1	1	1450	936	1450	100	79.0214	33.3	15
JAACYN010014163.1	1	5423	1096	5423	100	21.2556	35.5	46.3
JAACYN010014191.1	1	2948	299	2948	100	12.9868	35.6	57
JAACYN010014287.1	1	2964	669	2964	100	27.3185	35.4	57.6
JAACYN010014305.1	1	1599	967	1599	100	79.4178	35.9	57.8
JAACYN010014381.1	1	5569	1037	5569	100	24.0011	35.5	59.3
JAACYN010014382.1	1	1606	236	1592	99.1283	18.4888	35.5	47.2
JAACYN010014568.1	1	7238	898	7234	99.9447	16.029	35.5	20.1
JAACYN010014652.1	1	1851	197	1840	99.4057	13.5575	36	58.2
JAACYN010014659.1	1	1452	288	1452	100	23.6405	35.3	51.6
JAACYN010014757.1	1	1856	325	1856	100	22.6304	35.1	48.6
JAACYN010014790.1	1	6666	1084	6657	99.865	20.9409	35.6	23.3
JAACYN010014796.1	1	2253	466	2253	100	26.2574	35.8	24.6
JAACYN010014883.1	1	3151	640	3151	100	26.741	35.7	59.4
JAACYN010014919.1	1	2383	367	2381	99.9161	19.8334	35.6	44.3
JAACYN010014920.1	1	3328	640	3328	100	21.6346	35.9	39.5
JAACYN010014926.1	1	4681	869	4681	100	24.1632	35.7	59.7
JAACYN010014968.1	1	1737	208	1733	99.7697	14.6246	35.5	44.8
JAACYN010015000.1	1	2199	271	2194	99.7726	14.6626	35.2	35.8
JAACYN010015035.1	1	4728	1051	4728	100	29.1652	35.7	58.8
JAACYN010015161.1	1	6385	1611	6384	99.9843	32.3502	35.7	53.1
JAACYN010015374.1	1	2112	860	2112	100	50.2197	35.7	37.1
JAACYN010015389.1	1	5493	1124	5493	100	26.3552	35.5	50
MU018151.1	1	1836	480	1742	94.8802	19.9619	32.9	39.1
MU018152.1	1	1413	236	1302	92.1444	6.75796	33.1	30.6
MU018153.1	1	1146	3131	1050	91.623	243.075	33.2	19.6
JAACYN010015762.1	1	739	161	739	100	19.6428	34.4	37
MU018154.1	1	1521	1662	1422	93.4911	54.8646	32.8	21.2
MU018155.1	1	1865	2117	1773	95.067	47.5807	33.2	18.6
JAACYN010015924.1	1	715	393	715	100	52.4629	34	40.5
MU018156.1	1	2042	176	1867	91.43	10.4344	35.5	28.1
JAACYN010015963.1	1	654	7764	654	100	683.035	32.1	14.5
JAACYN010015982.1	1	1716	343	1716	100	22.5816	35.5	58.9
JAACYN010015989.1	1	906	406	906	100	46.1534	34	49.9
MU018157.1	1	1827	205	1700	93.0487	12.1111	35.1	0.922
JAACYN010016075.1	1	1368	241	1368	100	14.6235	34.9	37.4
JAACYN010016096.1	1	651	765	642	98.6175	74.7865	33	34
JAACYN010016098.1	1	704	3400	701	99.5739	389.308	33.5	8.65
JAACYN010016202.1	1	2809	619	2809	100	27.9726	35.8	54.1
