#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM021765.1	1	205022027	92632741	201748525	98.4033	57.1797	35.7	55.5
MU016286.1	1	24495	62221	24476	99.9224	329.207	35.9	58.3
JAACYP010013995.1	1	4264	9612	4264	100	285.335	35.7	59.1
JAACYP010014044.1	1	5498	51151	5498	100	1216.66	35.9	18.2
JAACYP010014676.1	1	4427	10219	4427	100	301.022	35.9	59.8
MU016287.1	1	7761	4619	7753	99.8969	76.8003	35.9	10.7
MU016288.1	1	19766	14568	19663	99.4789	77.8045	35.3	55.1
JAACYP010015341.1	1	1270	65757	1270	100	6700.75	36	56.6
MU016289.1	1	38873	14646	38595	99.2849	47.9859	35.8	57.9
JAACYP010015683.1	1	5433	3658	5433	100	89.9595	36	15.7
MU016290.1	1	50644	22000	50457	99.6308	55.697	35.7	57.1
JAACYP010015996.1	1	19347	16480	19347	100	111.571	35.8	57.7
JAACYP010016085.1	1	17522	7721	17522	100	56.2491	35.7	49.2
JAACYP010016546.1	1	10745	128490	10745	100	1582.18	35.9	3.17
JAACYP010016548.1	1	1384	474	1384	100	44.8974	35.6	58.1
JAACYP010016585.1	1	3361	689	3361	100	27.0223	35.7	59.4
JAACYP010016668.1	1	1058	1745	1058	100	106.537	34.3	17.1
JAACYP010016706.1	1	1994	627	1977	99.1474	43.4609	35.9	59.4
JAACYP010016805.1	1	2798	633	2798	100	29.2334	35.8	58.8
JAACYP010016869.1	1	3079	842	3079	100	36.024	35.6	54.2
JAACYP010016900.1	1	1028	345	1028	100	32.9912	35.2	55.7
JAACYP010016931.1	1	1138	573	1138	100	65.3067	35.5	59.6
JAACYP010016993.1	1	1544	550	1544	100	46.8148	35.6	56.7
JAACYP010017026.1	1	3884	940	3884	100	30.1964	35.9	52.7
JAACYP010017088.1	1	3113	822	3113	100	31.9775	35.8	56.9
JAACYP010017136.1	1	2270	3594	2270	100	145.823	33.3	19.2
JAACYP010017237.1	1	5258	2293	5258	100	56.0304	35.8	56.8
JAACYP010017246.1	1	2830	786	2830	100	35.1216	35.8	48.6
JAACYP010017323.1	1	1066	217	1066	100	27.5375	35.8	54
JAACYP010017334.1	1	1027	247	1027	100	25.5248	35.6	31.5
JAACYP010017355.1	1	1327	2222	1327	100	202.202	36	30.6
JAACYP010017379.1	1	1474	711	1474	100	60.3195	35.8	57.2
JAACYP010017380.1	1	2000	559	1992	99.6	37.0355	35.9	56.5
JAACYP010017581.1	1	15404	7768	15403	99.9935	55.999	35.9	54.8
MU016291.1	1	1395	128055	1205	86.3799	11641.7	35.8	38
JAACYP010018595.1	1	5864	2655	5864	100	56.344	35.8	40.3
JAACYP010018605.1	1	1875	1278	1875	100	81.976	35.8	59.2
JAACYP010018612.1	1	2708	1245	2708	100	58.4298	36	59
JAACYP010018663.1	1	15611	7243	15611	100	58.0768	35.8	56.2
JAACYP010018694.1	1	4461	1749	4461	100	51.1766	35.8	59.5
JAACYP010018705.1	1	1017	493	1017	100	54.88	34.8	56.9
JAACYP010018736.1	1	1038	470	1038	100	52.2852	35.8	58.9
JAACYP010018913.1	1	1069	372	1069	100	48.0309	35.8	58.7
JAACYP010018939.1	1	7733	4140	7733	100	67.6161	35.6	47.4
JAACYP010018990.1	1	2525	826	2525	100	35.5489	35.2	32.8
JAACYP010019047.1	1	2380	1028	2371	99.6218	58.3429	36	56.4
JAACYP010019050.1	1	1535	471	1533	99.8697	40.6645	35.7	56
JAACYP010019051.1	1	1715	408	1715	100	29.7388	35.7	44.5
JAACYP010019070.1	1	2205	661	2205	100	37.4095	35.8	37.2
JAACYP010019085.1	1	2974	1560	2974	100	66.4095	35.8	48.7
JAACYP010019124.1	1	4804	2005	4804	100	53.3249	35.9	58.3
JAACYP010019146.1	1	2035	1249	2035	100	82.2698	35.9	57.5
JAACYP010019243.1	1	1557	740	1557	100	60.6262	35.6	41.1
JAACYP010019291.1	1	1155	384	1155	100	33.2528	35.2	58.2
JAACYP010019323.1	1	5411	2729	5411	100	67.0918	35.9	59.5
JAACYP010019326.1	1	4939	2618	4939	100	65.9897	35.7	59.1
JAACYP010019348.1	1	4326	2027	4326	100	60.0548	35.8	56.3
JAACYP010019361.1	1	3961	1683	3955	99.8485	56.1681	36	56.4
JAACYP010019363.1	1	6341	2030	6341	100	39.6376	35.5	32.4
JAACYP010019405.1	1	1288	860	1288	100	88.4278	35.9	58.9
MU016292.1	1	2411	907	2321	96.2671	42.9888	35.5	54.5
JAACYP010019506.1	1	9644	4389	9644	100	56.9449	35.6	58.5
JAACYP010019721.1	1	3317	1359	3317	100	52.0546	35.3	47.4
MU016293.1	1	1034	268893	938	90.7157	26222.5	32.7	2.24
MU016294.1	1	4971	2361	4963	99.8391	62.9986	36	48.6
JAACYP010019819.1	1	1462	714	1462	100	61.9008	35.7	39.1
JAACYP010020045.1	1	9686	4165	9672	99.8555	54.2199	35.7	54.2
JAACYP010020106.1	1	1623	35031	1623	100	2755.32	35.9	0.0371
JAACYP010020142.1	1	9980	4208	9980	100	54.2033	35.7	59.3
JAACYP010020243.1	1	2307	2173	2307	100	120.468	35.8	58.5
JAACYP010020250.1	1	8047	2967	8047	100	47.7312	35.8	59.6
JAACYP010020422.1	1	1307	355	1307	100	34.2907	35.8	58.9
JAACYP010020460.1	1	6068	2682	6068	100	56.7797	36	59.8
JAACYP010020497.1	1	3828	1394	3828	100	45.8618	35.9	58.6
JAACYP010020505.1	1	4519	2078	4519	100	56.0994	35.6	50.4
JAACYP010020565.1	1	6356	3020	6356	100	60.4536	36	52.5
JAACYP010020653.1	1	3939	7269	3939	100	204.556	35.9	54.4
JAACYP010020724.1	1	2884	1294	2884	100	59.5954	35.8	59.2
MU016295.1	1	7227	12418	7130	98.6578	226.725	35.9	4.5
JAACYP010021045.1	1	3038	610	3038	100	22.846	35.8	6.02
JAACYP010021055.1	1	1367	3538	1367	100	314.89	35.9	33.9
JAACYP010021084.1	1	1405	1561	1405	100	148.266	35.8	58.2
JAACYP010021175.1	1	11469	4933	11459	99.9128	55.8448	35.9	54.3
