#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM021799.1	1	204625131	75892130	198835937	97.1708	36.9521	34.3	59.2
JAACYN010012523.1	1	1328	3459	1328	100	262.636	33.9	60
JAACYN010012717.1	1	14360	2298	13988	97.4095	15.4795	33.2	58.5
MU018150.1	1	55961	20343	55564	99.2906	36.1697	34.2	59.8
JAACYN010013916.1	1	1026	408	1026	100	40.4269	34.2	59.9
JAACYN010013960.1	1	3861	1100	3861	100	28.2023	34.1	59.6
JAACYN010014065.1	1	1077	281	1072	99.5357	25.4893	34.5	55
JAACYN010014072.1	1	1528	577	1505	98.4948	37.0916	34.4	59.8
JAACYN010014091.1	1	1222	365	1218	99.6727	29.7725	34.4	55.6
JAACYN010014095.1	1	1434	412	1421	99.0934	28.5614	34.1	58.4
JAACYN010014112.1	1	2514	3	146	5.80748	0.071599	29.9	6.33
JAACYN010014151.1	1	1450	455	1446	99.7241	31.2021	34.3	59
JAACYN010014163.1	1	5423	2022	5423	100	37.1743	34.3	59.8
JAACYN010014191.1	1	2948	8	270	9.15875	0.268318	33.4	14.9
JAACYN010014287.1	1	2964	976	2964	100	32.1188	34.5	59.8
JAACYN010014305.1	1	1599	1069	1599	100	66.6435	34	58.1
JAACYN010014381.1	1	5569	1914	5540	99.4793	34.3746	34.3	59.9
JAACYN010014382.1	1	1606	16	524	32.6276	0.942092	33.1	2.62
JAACYN010014568.1	1	7238	81	3508	48.4664	1.10182	34.2	2.05
JAACYN010014652.1	1	1851	9	97	5.24041	0.0524041	33.8	60
JAACYN010014659.1	1	1452	460	1452	100	31.9194	34.4	59.7
JAACYN010014757.1	1	1856	603	1800	96.9828	32.3578	34.3	58.3
JAACYN010014790.1	1	6666	1708	6648	99.73	25.5303	34.3	24.9
JAACYN010014796.1	1	2253	76	1438	63.826	2.94407	33.6	4.54
JAACYN010014883.1	1	3151	1077	3151	100	33.9956	34.3	59.8
JAACYN010014920.1	1	3328	298	944	28.3654	6.16617	34.3	11.1
JAACYN010014926.1	1	4681	1813	4681	100	38.6894	34.2	59.8
JAACYN010014968.1	1	1737	4	236	13.5866	0.230282	35.1	10
JAACYN010015000.1	1	2199	46	1413	64.2565	1.88722	32.8	9.83
