#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM021765.1	1	205022027	73730990	201576221	98.3193	35.8081	34.5	59
MU016286.1	1	24495	77237	24473	99.9102	312.044	34.4	58.3
JAACYP010013995.1	1	4264	5549	4260	99.9062	126.106	34.1	59.5
JAACYP010014044.1	1	5498	24460	5498	100	443.816	34.1	13.5
JAACYP010014676.1	1	4427	13312	4427	100	293.092	34.4	59.9
MU016287.1	1	7761	6479	7730	99.6006	83.2827	34.5	9.84
MU016288.1	1	19766	3292	19137	96.8178	12.7536	33.2	53.1
JAACYP010015341.1	1	1270	35864	1270	100	2787.77	34.3	57.7
MU016289.1	1	38873	13020	38463	98.9453	33.3188	34.5	59.5
JAACYP010015683.1	1	5433	4719	5433	100	86.7453	34.5	14.8
MU016290.1	1	50644	16230	50411	99.5399	31.8698	34.5	58.5
JAACYP010015996.1	1	19347	13745	19347	100	70.8617	34.5	57.9
JAACYP010016085.1	1	17522	6446	17522	100	36.5598	34.5	50.8
JAACYP010016546.1	1	10745	73613	10745	100	683.77	34.1	2.21
JAACYP010016548.1	1	1384	395	1384	100	28.8251	34.2	59.7
JAACYP010016585.1	1	3361	605	3361	100	18.0622	34.8	59.7
JAACYP010016668.1	1	1058	174	995	94.0454	13.1966	34.3	54.9
JAACYP010016706.1	1	1994	676	1986	99.5988	34.9157	34.3	59.4
JAACYP010016805.1	1	2798	481	2798	100	17.203	34.7	59.1
JAACYP010016869.1	1	3079	5	186	6.04092	0.0717766	32.4	24
JAACYP010016900.1	1	1028	331	1028	100	29.5136	34.2	58.1
JAACYP010016931.1	1	1138	267	1138	100	23.7091	33.6	59.5
JAACYP010016993.1	1	1544	364	1544	100	23.4624	34.6	58.4
JAACYP010017026.1	1	3884	38	333	8.57364	0.493048	35	18.9
JAACYP010017088.1	1	3113	688	3113	100	21.8262	34.6	59.3
JAACYP010017136.1	1	2270	704	2257	99.4273	30.7736	34.7	59.6
JAACYP010017237.1	1	5258	1802	5258	100	34.1858	34.4	58.1
JAACYP010017246.1	1	2830	57	692	24.4523	1.98057	35	2.23
JAACYP010017323.1	1	1066	3	113	10.6004	0.281426	35.6	26.7
JAACYP010017334.1	1	1027	5	200	19.4742	0.194742	35.3	33.4
JAACYP010017355.1	1	1327	1264	1270	95.7046	84.431	34.5	28.5
JAACYP010017379.1	1	1474	873	1474	100	59.7693	34.5	58.4
JAACYP010017380.1	1	2000	19	504	25.2	0.7485	33.8	9.74
JAACYP010017581.1	1	15404	5743	15402	99.987	35.7299	34.6	57.6
MU016291.1	1	1395	86973	1202	86.1649	6044.26	34.3	40.2
JAACYP010018595.1	1	5864	266	1938	33.0491	3.84703	33.7	9.68
JAACYP010018605.1	1	1875	1158	1875	100	59.3595	33.7	59.5
JAACYP010018612.1	1	2708	907	2651	97.8951	33.1665	34.4	59.9
JAACYP010018663.1	1	15611	5532	15611	100	35.0899	34.6	58
JAACYP010018694.1	1	4461	1744	4461	100	39.5351	34.5	59.9
JAACYP010018705.1	1	1017	185	932	91.6421	18.0246	33.8	59.8
JAACYP010018736.1	1	1038	263	1037	99.9037	23.7572	33.1	57.5
JAACYP010018913.1	1	1069	445	1069	100	41.8307	34.6	58.9
JAACYP010018939.1	1	7733	2969	7733	100	38.2841	34.3	49.2
JAACYP010018990.1	1	2525	79	1214	48.0792	1.97941	33.4	18.8
JAACYP010019047.1	1	2380	821	2380	100	34.842	34.5	56.5
JAACYP010019050.1	1	1535	556	1535	100	36.456	34.5	58.2
JAACYP010019051.1	1	1715	13	380	22.1574	0.538776	33.4	0
JAACYP010019085.1	1	2974	48	930	31.271	0.690989	33.8	26
JAACYP010019124.1	1	4804	1775	4804	100	36.5489	34.5	58.6
JAACYP010019146.1	1	2035	645	2035	100	31.6408	34.6	57.1
JAACYP010019243.1	1	1557	18	392	25.1766	0.552344	34.3	37.3
JAACYP010019291.1	1	1155	134	1153	99.8268	9.29784	33.1	59.3
JAACYP010019323.1	1	5411	2031	5411	100	37.6601	34.5	60
JAACYP010019326.1	1	4939	1389	4938	99.9798	27.7566	34	59.8
JAACYP010019348.1	1	4326	1448	4326	100	33.5014	34.4	55.8
JAACYP010019363.1	1	6341	287	2284	36.0196	4.05614	34.1	7.89
JAACYP010019405.1	1	1288	899	1288	100	70.6429	34.3	59.7
MU016292.1	1	2411	705	2310	95.8109	28.2464	34.7	59.3
JAACYP010019506.1	1	9644	2155	9644	100	22.0083	33.5	59.1
JAACYP010019721.1	1	3317	590	3310	99.789	17.7257	34.2	57.8
MU016293.1	1	1034	33	274	26.499	0.896518	32.9	12.5
MU016294.1	1	4971	1357	4961	99.7988	27.1963	34.3	45.9
JAACYP010019819.1	1	1462	492	1455	99.5212	32.7633	34.7	39.9
JAACYP010020045.1	1	9686	3416	9683	99.969	34.9286	34.5	54.8
JAACYP010020106.1	1	1623	18816	1623	100	1157.34	34.1	0.00638
JAACYP010020142.1	1	9980	3437	9980	100	34.0271	34.5	59.9
JAACYP010020243.1	1	2307	1565	2307	100	68.6042	34.4	59.8
JAACYP010020250.1	1	8047	3095	8046	99.9876	38.2043	34.5	59.9
JAACYP010020422.1	1	1307	427	1307	100	31.7781	34.3	59.9
JAACYP010020460.1	1	6068	1535	6067	99.9835	25.0114	33.4	60
JAACYP010020497.1	1	3828	1205	3828	100	31.4446	34.4	60
JAACYP010020505.1	1	4519	1608	4519	100	35.2051	34.6	57.5
JAACYP010020565.1	1	6356	2267	6356	100	35.2292	34.2	53.1
JAACYP010020653.1	1	3939	4159	3939	100	92.5753	34.4	55.4
JAACYP010020724.1	1	2884	954	2884	100	33.3845	34.4	59.9
MU016295.1	1	7227	1791	6981	96.5961	24.7036	34.5	1.18
JAACYP010021045.1	1	3038	517	2933	96.5438	16.0392	34.5	5.88
JAACYP010021055.1	1	1367	2260	1367	100	153.748	34.3	37.6
JAACYP010021084.1	1	1405	537	1405	100	38.7794	33.5	58.2
JAACYP010021175.1	1	11469	4110	11459	99.9128	35.656	34.4	55
JAACYP010021183.1	1	8487	2869	8487	100	33.5239	34.5	59.8
JAACYP010021230.1	1	1644	1030	1644	100	60.517	34.1	48.7
JAACYP010021239.1	1	3005	1026	3005	100	34.2779	33.9	60
JAACYP010021242.1	1	2933	1183	2932	99.9659	40.0927	34.3	59.9
JAACYP010021286.1	1	1536	364	1474	95.9635	23.3145	34.4	59.9
JAACYP010021291.1	1	1959	700	1959	100	35.4298	34.6	58.1
JAACYP010021336.1	1	4264	1355	4264	100	31.7798	34.1	59.4
JAACYP010021480.1	1	3506	1176	3506	100	33.3155	34.4	58.1
JAACYP010021503.1	1	5314	1951	5314	100	36.6214	34.6	58.9
JAACYP010021557.1	1	2759	11	313	11.3447	0.211671	36	14.7
JAACYP010021568.1	1	1500	558	1493	99.5333	33.6693	34.2	25
JAACYP010021630.1	1	8069	2967	8069	100	36.7477	34.6	59.8
MU016296.1	1	10894	4019	10823	99.3483	36.597	34.5	58.3
MU016297.1	1	13553	3632	13438	99.1515	26.7156	34.4	45.2
MU016298.1	1	2258	560	2158	95.5713	22.8893	34.7	50.1
MU016299.1	1	3924	1307	3893	99.21	33.5686	34.5	58.6
JAACYP010021901.1	1	5093	1656	5093	100	31.6371	34.4	59.5
JAACYP010021943.1	1	5304	1748	5282	99.5852	33.0835	34.7	56
MU016300.1	1	3096	289	1911	61.7248	9.30975	34.2	26
JAACYP010022051.1	1	3302	1208	3302	100	36.5551	34.6	59.7
JAACYP010022073.1	1	2412	746	2363	97.9685	30.8014	34.4	60
