#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM021799.1	1	204625131	100893883	199033287	97.2673	62.4103	35.7	56.1
JAACYN010012523.1	1	1328	6686	1328	100	668.322	36	59.9
JAACYN010012717.1	1	14360	11544	14360	100	98.3889	35.4	57.6
MU018150.1	1	55961	27066	55571	99.3031	61.3688	35.7	57.1
JAACYN010013916.1	1	1026	488	1026	100	61.4951	35.8	60
JAACYN010013960.1	1	3861	1454	3861	100	48.8757	35.8	58.7
JAACYN010014065.1	1	1077	2902	1077	100	180.522	34.1	7.56
JAACYN010014072.1	1	1528	594	1520	99.4764	48.2336	35.9	59.3
JAACYN010014091.1	1	1222	2574	1222	100	213.322	33.6	22.9
JAACYN010014095.1	1	1434	455	1434	100	41.7594	34.6	37.4
JAACYN010014112.1	1	2514	557	2514	100	26.5823	35.7	58.1
JAACYN010014141.1	1	1612	2707	1612	100	105.909	32.3	35.5
JAACYN010014151.1	1	1450	2150	1450	100	178.916	33.4	14.9
JAACYN010014163.1	1	5423	2271	5423	100	44.3872	35.6	46.8
JAACYN010014191.1	1	2948	702	2948	100	31.0417	35.9	57.3
JAACYN010014287.1	1	2964	1337	2964	100	54.0128	35.6	57.5
JAACYN010014305.1	1	1599	2075	1599	100	166.959	36	57.8
JAACYN010014381.1	1	5569	2214	5569	100	51.3123	35.6	59.4
JAACYN010014382.1	1	1606	465	1592	99.1283	36.0274	35.7	46.4
JAACYN010014568.1	1	7238	1904	7238	100	33.923	35.7	21
JAACYN010014652.1	1	1851	424	1851	100	29.2869	36.1	57.5
JAACYN010014659.1	1	1452	607	1452	100	49.1274	35.3	51.1
JAACYN010014757.1	1	1856	693	1856	100	48.0824	35.3	48.8
JAACYN010014790.1	1	6666	2280	6659	99.895	44.0909	35.8	23.2
JAACYN010014796.1	1	2253	936	2253	100	52.4434	35.9	25.6
JAACYN010014883.1	1	3151	1323	3151	100	55.1857	35.9	59.5
JAACYN010014919.1	1	2383	767	2383	100	40.4918	35.9	43.6
JAACYN010014920.1	1	3328	1328	3328	100	44.4633	36	38.7
JAACYN010014926.1	1	4681	1906	4681	100	52.8255	35.9	59.7
JAACYN010014968.1	1	1737	419	1737	100	30.6022	35.8	47.1
JAACYN010015000.1	1	2199	607	2198	99.9545	33.6808	35.7	38.8
JAACYN010015035.1	1	4728	2220	4728	100	60.9217	35.8	58.7
JAACYN010015161.1	1	6385	3542	6385	100	71.1154	35.9	53.4
JAACYN010015374.1	1	2112	1913	2112	100	112.041	35.9	37.6
JAACYN010015389.1	1	5493	2345	5493	100	55.1303	35.7	50.2
MU018151.1	1	1836	1083	1742	94.8802	46.1275	33.1	38.6
MU018152.1	1	1413	513	1306	92.4275	15.1592	33.8	31.7
MU018153.1	1	1146	6649	1051	91.7103	510.654	33.5	19.3
JAACYN010015762.1	1	739	281	739	100	33.0555	34.5	37.1
MU018154.1	1	1521	3992	1422	93.4911	131.235	33.1	21.6
MU018155.1	1	1865	4732	1773	95.067	106.066	33.3	18.7
JAACYN010015924.1	1	715	766	715	100	100.048	34.2	40.8
MU018156.1	1	2042	396	1900	93.046	22.9647	35.6	29.4
JAACYN010015963.1	1	654	18350	654	100	1619.92	32.4	15
JAACYN010015982.1	1	1716	726	1716	100	49.2348	35.7	59
JAACYN010015989.1	1	906	959	906	100	102.317	34.1	48.2
MU018157.1	1	1827	345	1705	93.3224	19.9206	35.2	0.559
JAACYN010016075.1	1	1368	587	1368	100	35.9218	35.1	34.5
JAACYN010016096.1	1	651	1660	647	99.3856	160.051	33.3	33.9
JAACYN010016098.1	1	704	7861	704	100	881.44	33.6	8.75
JAACYN010016202.1	1	2809	1392	2809	100	61.8768	35.9	54.2
MU018158.1	1	5064	3818	4977	98.282	79.6526	34.3	30.2
JAACYN010016421.1	1	3975	1584	3975	100	51.2989	36	59.3
JAACYN010016425.1	1	1848	645	1848	100	43.4405	35.6	59.1
JAACYN010016426.1	1	2740	947	2740	100	38.4197	35.8	45.3
JAACYN010016451.1	1	1323	1016	1323	100	63.9728	33.1	35.1
JAACYN010016473.1	1	3160	1853	3157	99.9051	72.725	35.9	28.4
JAACYN010016474.1	1	2149	721	2149	100	43.4309	35.9	57.6
JAACYN010016477.1	1	2156	767	2156	100	41.218	35.8	55.3
JAACYN010016484.1	1	1067	840	1067	100	106.71	35.7	59.2
JAACYN010016485.1	1	2953	1223	2953	100	53.1703	35.8	58.5
JAACYN010016498.1	1	4389	1613	4389	100	47.1301	35.7	59.4
JAACYN010016519.1	1	1800	1192	1800	100	80.8667	35.9	56.7
JAACYN010016594.1	1	3463	1533	3463	100	57.8955	35.8	59
JAACYN010016601.1	1	1281	2168	1281	100	121.659	32.4	37.3
JAACYN010016651.1	1	1130	476	1130	100	54.1265	35.9	59.1
JAACYN010016652.1	1	1098	296	1098	100	29.6011	35.6	52.8
JAACYN010016730.1	1	1035	994	1035	100	82.486	34.1	48.1
JAACYN010016747.1	1	1150	1053	1150	100	84.2461	34.4	39.9
JAACYN010016757.1	1	2638	1317	2638	100	63.4359	35.5	56.8
JAACYN010016761.1	1	2918	1188	2918	100	50.4894	35.6	57.4
JAACYN010016767.1	1	4214	1998	4214	100	59.9639	35.7	58.3
JAACYN010016821.1	1	2303	867	2303	100	47.7686	35.9	59.2
JAACYN010016825.1	1	8386	4113	8386	100	58.756	35.7	54.6
JAACYN010016833.1	1	1135	13830	1135	100	957.143	33.7	33.4
JAACYN010016851.1	1	2770	859	2765	99.8195	36.0469	35.2	51
JAACYN010016906.1	1	6977	3332	6977	100	61.9769	35.8	59.2
JAACYN010016912.1	1	1132	513	1132	100	55.2641	35.9	51.8
JAACYN010016928.1	1	6231	2157	6231	100	44.1199	35.8	57.7
JAACYN010016930.1	1	8549	4013	8549	100	60.1859	35.7	59.2
JAACYN010017081.1	1	1173	4206	1173	100	339.052	34.1	30.3
JAACYN010017106.1	1	1323	4449	1323	100	232.147	32.7	37.3
JAACYN010017215.1	1	1496	2905	1496	100	210.743	35.2	5.99
MU018159.1	1	1531	2132	1437	93.8602	149.593	33.8	21.8
JAACYN010017587.1	1	1080	1512	1080	100	181.845	35.9	39.7
MU018160.1	1	1035	1026	901	87.0531	46.399	28.3	9.01
JAACYN010017687.1	1	1749	1579	1749	100	103.607	35.2	57.5
JAACYN010017799.1	1	7576	2381	7576	100	40.8305	35.6	58.3
JAACYN010017813.1	1	1171	383	1166	99.573	40.3988	35.8	29.4
JAACYN010017843.1	1	9121	4725	9121	100	63.1737	35.8	51.8
MU018161.1	1	1184	1290	1177	99.4088	93.0853	33.1	43.1
MU018162.1	1	2843	1007	2783	97.8896	33.9416	34.4	43.3
MU018163.1	1	1595	2850	1497	93.8558	143.907	33.4	23
MU018164.1	1	1223	2286	1127	92.1504	228.581	35.9	50.3
JAACYN010018138.1	1	3106	1138	3106	100	39.1552	35.5	40.2
JAACYN010018142.1	1	9942	1504	9942	100	19.6996	35.8	6.73
JAACYN010018212.1	1	8458	4147	8457	99.9882	64.212	35.8	42.6
JAACYN010018302.1	1	5908	2851	5908	100	61.3724	35.8	56.6
JAACYN010018318.1	1	2811	1223	2811	100	54.8026	35.8	59.2
JAACYN010018342.1	1	1390	606	1390	100	58.7784	35.7	51.9
