#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM021697.1	1	199699387	30403564	197167259	98.732	19.2239	35.7	55.5
MU012047.1	1	147164	20650	131967	89.6734	18.1159	35.9	49.5
JAACYO010010988.1	1	30244	9316	30244	100	39.611	35.9	50
JAACYO010010996.1	1	9663	11925	9663	100	161.416	36	23.3
JAACYO010011242.1	1	9430	31782	9430	100	405.305	35.9	59.4
JAACYO010011446.1	1	3025	206	3010	99.5041	8.18248	36.1	59.8
JAACYO010011479.1	1	1806	162	1791	99.1694	11.6944	35.9	58.8
JAACYO010011503.1	1	1327	225	1327	100	22.6827	35.8	59.7
JAACYO010011509.1	1	1861	233	1861	100	13.8189	35.8	60
JAACYO010011515.1	1	1523	226	1523	100	19.3316	35.9	59.5
JAACYO010011536.1	1	1290	87	1290	100	8.96279	35.8	60
JAACYO010011566.1	1	5093	696	5069	99.5288	17.3024	36	59
JAACYO010011568.1	1	1528	118	1528	100	9.51963	36.1	57.4
JAACYO010011633.1	1	6832	916	6832	100	17.2007	35.8	59.7
JAACYO010011647.1	1	1258	197	1258	100	20.1558	35.5	58.9
JAACYO010011715.1	1	1139	163	1139	100	19.3108	36	60
JAACYO010011816.1	1	3156	226	3115	98.7009	8.57319	36	60
JAACYO010011846.1	1	1716	283	1716	100	22.2593	36.1	59.5
JAACYO010011890.1	1	3740	389	3740	100	13.104	35.7	58.9
JAACYO010011891.1	1	5396	642	5396	100	14.9466	35.8	57.7
JAACYO010011912.1	1	5909	1232	5909	100	20.9621	34.8	37.3
JAACYO010011913.1	1	4806	677	4806	100	18.5148	35.9	59.4
JAACYO010011917.1	1	2592	255	2592	100	12.3264	35.6	58.5
JAACYO010011935.1	1	1237	135	1237	100	14.4834	35.8	58.7
JAACYO010011972.1	1	3679	2418	3672	99.8097	56.3379	33.5	19.8
JAACYO010011992.1	1	1030	365	1030	100	43.3029	34.3	12.9
JAACYO010012018.1	1	4512	656	4512	100	18.8287	36	59
JAACYO010012026.1	1	1489	126	1487	99.8657	10.4453	35.9	58
JAACYO010012104.1	1	1337	196	1337	100	17.0172	35.4	50.1
JAACYO010012122.1	1	3822	598	3822	100	20.3459	35.6	57.9
JAACYO010012133.1	1	1982	219	1971	99.445	10.9425	35.8	60
JAACYO010012134.1	1	2381	612	2381	100	30.827	36	57.7
JAACYO010012234.1	1	1354	1129	1354	100	98.1972	36.1	52.3
JAACYO010012239.1	1	2673	251	2519	94.2387	12.2215	35.7	45.5
JAACYO010012255.1	1	1962	146	1962	100	8.89755	35.7	45.6
JAACYO010012319.1	1	4856	731	4856	100	19.1497	35.9	53.9
JAACYO010012376.1	1	3281	581	3281	100	22.3767	35.8	50.4
JAACYO010012379.1	1	3035	621	3035	100	26.0791	35.9	52.7
JAACYO010012485.1	1	9689	1381	9689	100	18.2745	35.9	58
JAACYO010012527.1	1	7503	963	7503	100	15.3613	35.6	57.7
JAACYO010012645.1	1	3700	553	3692	99.7838	19.8568	35.9	26
JAACYO010012898.1	1	1615	421	1615	100	30.1331	34.8	28.7
JAACYO010012971.1	1	4828	779	4813	99.6893	21.3229	35.8	13.1
JAACYO010012986.1	1	14348	2280	14348	100	20.3783	35.8	58.2
JAACYO010012993.1	1	2449	300	2423	98.9383	15.8052	36	38.8
JAACYO010013010.1	1	53856	8889	53856	100	21.602	35.9	59.6
JAACYO010013020.1	1	13653	1934	13653	100	18.1419	35.8	54.3
JAACYO010013096.1	1	6752	561	6752	100	10.5495	35.9	57.7
JAACYO010013127.1	1	11404	2337	11404	100	21.0025	34.7	37.8
JAACYO010013201.1	1	13665	24746	13592	99.4658	211.076	32.7	14.8
JAACYO010013208.1	1	4614	449	4614	100	12.4413	35.4	57.9
JAACYO010013223.1	1	1452	4371	1452	100	338.594	35.7	5.32
MU012048.1	1	1788	192	1689	94.4631	12.4245	34.8	55.1
MU012049.1	1	9670	1095	9570	98.9659	14.5165	35.7	57.2
MU012050.1	1	3784	314	3672	97.0402	9.5444	34.9	58.2
MU012051.1	1	2579	2077	2480	96.1613	55.3571	35.8	43.5
MU012052.1	1	1665	28519	1494	89.7297	1101.98	34.1	13.9
MU012053.1	1	3871	317	3774	97.4942	8.3968	35.5	51.8
MU012054.1	1	1964	1005	1964	100	51.2643	34	23.1
JAACYO010014295.1	1	3364	647	3364	100	24.585	35.9	59.4
JAACYO010014384.1	1	811	543	811	100	66.9815	34.2	21.8
JAACYO010014403.1	1	706	3057	706	100	149.909	33.3	10.4
JAACYO010014406.1	1	982	145	982	100	13.2108	34.1	50.6
JAACYO010014455.1	1	3464	525	3464	100	18.3496	35.8	55.4
MU012055.1	1	701	1263	607	86.5906	180.539	35.3	21.9
JAACYO010015038.1	1	6578	791	6560	99.7264	13.1025	35.4	46.3
JAACYO010015049.1	1	3171	365	3170	99.9685	15.3087	36.2	59.7
JAACYO010015059.1	1	2642	258	2598	98.3346	12.9239	35.9	60
JAACYO010015110.1	1	6190	820	6162	99.5477	17.1005	35.9	58.8
JAACYO010015121.1	1	4675	500	4673	99.9572	13.8584	35.6	57
JAACYO010015215.1	1	7843	793	7831	99.847	12.9198	35.9	59.5
JAACYO010015297.1	1	6003	1013	6003	100	18.4808	35.9	51
JAACYO010015441.1	1	1056	12739	1056	100	952.758	33.7	15.4
JAACYO010015442.1	1	5191	578	5191	100	14.4735	36	58.9
JAACYO010015443.1	1	4345	657	4344	99.977	18.913	35.9	53.9
JAACYO010015446.1	1	1015	137	1011	99.6059	19.6256	34.8	33.8
JAACYO010015459.1	1	4004	689	3996	99.8002	12.6911	35.7	43.5
JAACYO010015515.1	1	2136	1065	2135	99.9532	46.6311	33.7	36.8
JAACYO010015546.1	1	7926	1877	7882	99.4449	31.2911	35.8	13.3
JAACYO010015557.1	1	3539	345	3521	99.4914	12.837	35.8	47.5
JAACYO010015622.1	1	7485	1106	7485	100	18.8997	35.8	57
JAACYO010015714.1	1	4111	223	3956	96.2296	6.75675	36	59.5
JAACYO010015880.1	1	3413	586	3413	100	22.6141	35.9	44.3
JAACYO010015887.1	1	17641	13598	17641	100	59.6302	34	21.3
JAACYO010015888.1	1	5190	780	5190	100	20.2071	36	58.9
JAACYO010015892.1	1	16703	2282	16671	99.8084	17.8929	35.8	56.5
MU012056.1	1	17136	3508	17128	99.9533	24.59	35.7	55.1
MU012057.1	1	5810	661	5713	98.3305	14.8224	35.9	59.3
MU012058.1	1	2694	19758	2692	99.9258	537.287	32.4	18.2
MU012059.1	1	8046	1740	7955	98.869	20.2977	34.9	36.4
MU012060.1	1	9629	1257	9474	98.3903	16.1636	35.6	54.2
MU012061.1	1	2556	817	2455	96.0485	33.5919	36.1	39
MU012062.1	1	13964	1340	10988	78.6881	12.3964	35.6	55.3
JAACYO010016492.1	1	10515	1400	10415	99.049	16.931	35.7	57.5
MU012063.1	1	14005	2186	13873	99.0575	20.1951	36	55.9
MU012064.1	1	3707	749	3505	94.5508	13.0467	35.1	52.1
MU012065.1	1	1949	14322	1849	94.8692	629.408	33.6	14.7
JAACYO010017023.1	1	5502	650	5502	100	15.1574	35.9	58.9
JAACYO010017051.1	1	2060	235	2059	99.9515	14.4223	35.9	59.5
JAACYO010017054.1	1	7670	989	7670	100	17.0246	35.9	57.8
JAACYO010017055.1	1	4789	590	4789	100	15.7542	35.6	52
JAACYO010017072.1	1	4651	559	4591	98.71	15.3165	35.9	58.3
JAACYO010017191.1	1	6539	795	6539	100	14.8046	35.4	54.3
JAACYO010017260.1	1	1612	140	1612	100	11.1383	36.3	58.1
JAACYO010017301.1	1	1077	297	1077	100	26.2832	34.8	29.9
JAACYO010017412.1	1	17449	2795	17429	99.8854	19.4246	35.6	52
JAACYO010017446.1	1	7674	1218	7646	99.6351	20.0491	35.9	43.3
MU012066.1	1	16122	1968	16061	99.6216	15.5839	35.6	57.7
JAACYO010017742.1	1	42154	7068	42154	100	21.755	35.8	59.1
JAACYO010017759.1	1	1562	356	1562	100	20.678	33.3	34.2
MU012067.1	1	6279	6177	6177	98.3755	78.8638	33.2	20.8
JAACYO010018106.1	1	5363	750	5363	100	18.5027	35.9	59.5
JAACYO010018114.1	1	3240	177	3232	99.7531	6.98765	35.4	16.5
JAACYO010018115.1	1	8882	858	8882	100	12.3762	35.8	58.4
JAACYO010018138.1	1	8181	3624	8177	99.9511	33.8559	33.8	41.8
MU012068.1	1	9717	1443	9610	98.8988	18.4426	35.3	49.5
JAACYO010018235.1	1	8208	1059	8198	99.8782	16.8812	35.9	58.6
JAACYO010018239.1	1	4897	319	4877	99.5916	8.23443	35.7	8.68
JAACYO010018250.1	1	1714	1212	1714	100	90.1768	36.1	15.4
JAACYO010018254.1	1	6813	928	6801	99.8239	17.8278	35.8	57.4
JAACYO010018283.1	1	8816	1441	8771	99.4896	18.9427	34.9	44.2
JAACYO010018300.1	1	5765	666	5726	99.3235	14.1448	36	51.6
MU012069.1	1	28554	1870	28011	98.0983	8.3175	35.9	56.6
MU012070.1	1	7593	1268	7584	99.8815	19.8856	35.7	53.9
JAACYO010018671.1	1	3576	398	3576	100	14.356	35.8	58.7
JAACYO010018675.1	1	7820	1376	7820	100	22.3487	35.5	53.6
JAACYO010018797.1	1	3359	555	3359	100	21.6368	35.9	59.6
JAACYO010018800.1	1	22665	2579	22664	99.9956	14.0322	35.6	55.4
JAACYO010018821.1	1	3574	463	3574	100	15.0733	35.4	49.5
JAACYO010018844.1	1	10500	1158	10481	99.819	14.5066	35.7	59.1
JAACYO010018864.1	1	1180	48	1111	94.1525	4.50932	35.7	46
