#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
CM021765.1	1	205022027	53047019	201739277	98.3988	32.6581	35.8	55.4
MU016286.1	1	24495	35298	24472	99.9061	186.114	36	58.3
JAACYP010013995.1	1	4264	5580	4264	100	165.75	35.9	59.1
JAACYP010014044.1	1	5498	29013	5498	100	688.078	36	18.1
JAACYP010014676.1	1	4427	5987	4427	100	175.385	36	59.8
MU016287.1	1	7761	2635	7745	99.7938	43.8543	36.1	10.9
MU016288.1	1	19766	8381	19663	99.4789	44.6759	35.4	55.3
JAACYP010015341.1	1	1270	37393	1270	100	3793.62	36.1	56.6
MU016289.1	1	38873	8243	38529	99.1151	26.935	35.9	57.8
JAACYP010015683.1	1	5433	2058	5415	99.6687	50.3922	36.1	16
MU016290.1	1	50644	12412	50456	99.6288	31.2891	35.9	57.2
JAACYP010015996.1	1	19347	9541	19347	100	64.5169	36	57.7
JAACYP010016085.1	1	17522	4405	17522	100	31.8934	35.9	48.8
JAACYP010016546.1	1	10745	73599	10745	100	903.629	36	3.19
JAACYP010016548.1	1	1384	231	1384	100	22.1633	35.8	58.6
JAACYP010016585.1	1	3361	344	3361	100	13.6593	36	59.2
JAACYP010016668.1	1	1058	1114	1058	100	66.9074	34.3	16.2
JAACYP010016706.1	1	1994	368	1974	98.997	25.2141	36	59.2
JAACYP010016805.1	1	2798	432	2798	100	20.1101	36	58.9
JAACYP010016869.1	1	3079	460	3079	100	19.9678	35.7	55.4
JAACYP010016900.1	1	1028	191	1026	99.8054	18.3346	35.3	54.3
JAACYP010016931.1	1	1138	299	1138	100	34.3954	35.8	59.5
JAACYP010016993.1	1	1544	303	1544	100	26.3329	36	57.4
JAACYP010017026.1	1	3884	502	3884	100	16.0595	36.2	52.1
JAACYP010017088.1	1	3113	459	3113	100	17.5284	35.9	56.7
JAACYP010017136.1	1	2270	2262	2247	98.9868	91.4542	33.4	18.6
JAACYP010017237.1	1	5258	1336	5258	100	32.3855	36	56.7
JAACYP010017246.1	1	2830	457	2827	99.894	20.4318	35.9	50
JAACYP010017323.1	1	1066	145	1066	100	18.8227	35.8	54.5
JAACYP010017334.1	1	1027	151	1026	99.9026	15.0419	35.5	30.4
JAACYP010017355.1	1	1327	1254	1327	100	113.457	36.1	31.1
JAACYP010017379.1	1	1474	411	1474	100	35.0624	35.9	57.3
JAACYP010017380.1	1	2000	335	1992	99.6	21.908	36	56.8
JAACYP010017581.1	1	15404	4404	15403	99.9935	31.2956	36	54.6
